productName,brandName,productPrice,productDescription,productStock,productCategory,productSubCategory,coverImage,images,Color,Size,Materials,Sort,note,,,,,,,,,,,,
MUKU Dining table,MUKU Kobo Original,"VND 41,267,840","On the top plate uses solid wood.

The solid top plate feels a stout personality not found in plywood. Still, it is thin and does not feel uncomfortable or heavy. The ultimate simple design won't get tired of using it for years and won't be influenced by fashion. In addition, all five types of solid are rich in character and exquisite color. Each one reflects a unique and beautiful grain and seems to soften the hearts of those who use it. It blends naturally with Asian flavors such as Japanese as well as Western styles.",15,Dining Room,Table,dining-table-t01.jpg,"dining-table-d01.jpg,dining-table-d02.jpg,dining-table-d06.jpg,dining-table-d07.jpg,dining-table-d08.jpg,dining-table-d11.jpg,dining-table-d12.jpg,dining-table-m03.jpg,dining-table-m04.jpg,dining-table-m05.jpg,muku.jpg","Oak, Walnut",Large,Wood,,,,,,,,,,,,,,
DT-4 Round table,MUKU Kobo Original,"VND 74,064,240","Adult enjoyment that is attractive for aging

If you welcomed this table at the same time as your marriage, what a beautiful color it would have changed in your later years. Just imagining it makes my heart warm. The fascinating flow of grain and the straight and curved lines of the parts are exquisitely combined, and there is no deviation in the boundaries. Solid wood is one of the materials loved all over the world, giving you such a mature pleasure. The table, created by the bounty of magnificent nature and the encounter with master craftsmanship, is a piece of furniture that deserves to exist in your home for decades.",17,Dining Room,Table,4-maru-table-t01.jpg,"4-maru-table-d01.jpg,4-maru-table-d02.jpg,4-maru-table-d07.jpg,4-maru-table-d08.jpg,4-maru-table-d09.jpg,4-maru-table-d10.jpg,4-maru-table-d12.jpg,4-maru-table-m02.jpg,4-maru-table-m03.jpg,4-maru-table-m04.jpg",Oak,Large,Wood,,,,,,,,,,,,,,
CHOCOLAT Dining table Extendable,shirakawa,"VND 40,023,610","traight, stable legs

When using an extendable dining table, many people are concerned about its strength. This dining table has four straight out legs. The strength is excellent as it is solidly built with a sense of stability. It is stable even with heavy kitchen utensils on it, so you can enjoy your meal with peace of mind. The legs are also straight, so one side of the table can be used as a wall. There are also chairs and benches from the series, so you can combine them to create a unified and stylish interior space.",15,Dining Room,Table,table-shincyo-t03.jpg,"table-shincyo-d01.jpg,table-shincyo-d02.jpg,table-shincyo-d03.jpg,table-shincyo-d04.jpg,table-shincyo-d05.jpg,table-shincyo-d06.jpg,table-shincyo-d11.jpg,table-shincyo-d12.jpg,table-shincyo-m02.jpg,table-shincyo-m03.jpg,table-shincyo-m04.jpg,table-shincyo-m05.jpg",Walnut,Large,Wood,,,,,,,,,,,,,,
Craft chair,TAKUMI KOHGEI,"VND 1,200,000","A chair that is comfortable to sit down.

A modern design that makes you lose your eyes without thinking. A form that looks like a pinch of soft clay is original. This ""CRAFT"" franchise was created in the pursuit of comfort, like a sofa, even though it was a dining chair. It has a concept suitable for the Japanese way of life where you spend time in a limited space. The leather can be changed into cloth, and the lineup is also abundant, so please choose one that suits your table. This was born in Asahikawa, Hokkaido, Japan's leading furniture producing region, in Takumi Kohgei, a long-established restaurant founded in 1979. At the International Furniture Design Fair Asahikawa, a gateway to the success of wooden furniture design, the president and many other staff members have won awards. This is truly a group of ""craftsmen.",35,Dining Room,Chair,chair-t01.jpg,"chair-d03.jpg,chair-d04.jpg,chair-d06.jpg,chair-d07.jpg,chair-d08.jpg,chair-d11.jpg,chair-d12.jpg,chair-m01.jpg,chair-m02.jpg,chair-m03.jpg,chair-m04.jpg,chair-m05.jpg","Walnut, Oak",Medium,"Wood, Hokkaido leather",New,,,,,,,,,,,,,
Hida takumi studio Chair No. 040,shirakawa,"VND 1,499,000","This is a superb item that makes even the wounds that are born in everyday use lovely.

The lineup of Hida's takumi features the natural texture of trees and vivid wood skin. The superior feel of the material can even be enjoyed over time. Even if you like the product you bought, it will deteriorate as you continue to use it, and it will become less and less attractive. But this chair, which uses natural materials, is part of the irreplaceable family landscape, with its warmth, appearance, and even small scratches and stains. And this chair memorizes the story of each life.",42,Dining Room,Chair,chair-no040-t01.jpg,"chair-no040-d01.jpg,chair-no040-d04.jpg,chair-no040-d05.jpg,chair-no040-d07.jpg,chair-no040-d08.jpg,chair-no040-d09.jpg,chair-no040-d10.jpg,chair-no040-d11.jpg,chair-no040-d12.jpg,chair-no040-m02.jpg,chair-no040-m03.jpg,chair-no040-m04.jpg,chair-no040-m05.jpg","Walnut, Birch",Medium,Wood,,,,,,,,,,,,,,
ac-cent MAWARIZA,Nissin,"VND 730,000","A circumscription that considers the person sitting

The Accent-Kaiza is a comfortable and functional seat designed by Nissin woodworking to suit modern lifestyles and to be comfortable to sit on. Nisshin woodworking makes use of the craftsmanship of Hida Takayama to create simple and modern furnishings that fit in with the Japanese lifestyle. The result is a modern Japanese impression that matches modern living spaces and lifestyles. It is not only designed for its appearance, but also for its structure, so it is easy to change direction while sitting, and you can change the angle at which you sit. It has a slight height and rotates, so the rising edge can be smoothed. Since it is cushion chair seat, it is comfortable to sit on, and it is a must-try item for those who have difficulty sitting on cushions.",24,Dining Room,Chair,zaisu-t01.jpg,"zaisu-d01.jpg,zaisu-d02.jpg,zaisu-d03.jpg,zaisu-d06.jpg,zaisu-d07.jpg,zaisu-d11.jpg,zaisu-d12.jpg,zaisu-m02.jpg,zaisu-m03.jpg,zaisu-m04.jpg,zaisu-m05.jpg",Oak,Medium,"Wood, Hokkaido leather",,,,,,,,,,,,,,
No.4900 Dining chair wooden seat,Hamamoto kogei,"VND 880,000","Comfortable seating with the attention of craftsmen

Comfort is an important factor in choosing a chair. The gentle curve of cruck wood process increases the area of adhesion between you and chair seat, and it is precisely designed so that you will not get tired even if you sit down. By widening the width of chair seat, we have achieved comfort for everyone from children to the elderly, even those of different sizes. It will not make you feel sweaty and will give you a sense of relaxation in your daily life.",32,Dining Room,Chair,dining-chair-i-t01.jpg,"dining-chair-i-d01.jpg,dining-chair-i-d03.jpg,dining-chair-i-d04.jpg,dining-chair-i-d11.jpg,dining-chair-i-d12.jpg,dining-chair-i-m02.jpg,dining-chair-i-m03.jpg,dining-chair-i-m04.jpg",Oak,Medium,Wood,,,,,,,,,,,,,,
LINEA No.106～108 Bed,Yamamuro Furniture,"VND 12,000,000","A bed suitable for spending about one-third of your life.

If a person lives 80 years, he or she is calculated to be asleep for 25 years. It's a bed that lies casually every night, but in fact it's the only piece of furniture that lives on par with the family. Nevertheless, with a poorly made bed, you can't be your long-standing good partner. Beds that can sustain a person's weight for decades are created only when high-quality materials are combined with high craftsmanship. The annual rings of the oak, which have no two expressions of the same kind, are proof that they have lived indeed. ""Artificial wood doesn't suit a very delicate space called """"sleep.""""""",25,Bed Room,Bed,no106-108-t01.jpg,"no106-108-d01.jpg,no106-108-d02.jpg,no106-108-d03.jpg,no106-108-d04.jpg,no106-108-d05.jpg,no106-108-d06.jpg,no106-108-d10.jpg,no106-108-d11.jpg,no106-108-m02.jpg,no106-108-m03.jpg,no106-108-m04.jpg,no106-108-m05.jpg","Walnut, Oak",Large,Wood,New,,,,,,,,,,,,,
New basic mattress,France Bed,"VND 3,000,000","Adopted ""double knit"" for all series with a gentle skin texture

Some people say, ""You don't have to be particular about the fabric because you use a mattress with a futon or mattress pad. However, depending on the material used, the breathability, heat retention, and moisture release properties will vary, so a good one is still more comfortable to sleep on. All of the products in this series are made of a double knit fabric that feels good on the skin, and are also treated to prevent mites, antibacterials, and odors. The top-class N-3000 was wrapped in a voluminous quilt and finished with luxury.",14,Bed Room,Bed,nb-mattress-t01.jpg,"nb-mattress-d01.jpg,nb-mattress-d03.jpg,nb-mattress-d04.jpg,nb-mattress-d05.jpg,nb-mattress-d06.jpg,nb-mattress-d07.jpg,nb-mattress-d08.jpg,nb-mattress-d09.jpg,nb-mattress-d11.jpg,nb-mattress-d12.jpg,nb-mattress-m02.jpg,nb-mattress-m03.jpg,nb-mattress-m04.jpg,nb-mattress-m05.jpg",Blue Grey,Large,Wood,New,,,,,,,,,,,,,
Gekko High back bed with table,HIDA,"VND 11,000,000","Useful high-back headboard for functional beauty

The top of the headboard is designed like a shelf. It is conveniently designed to put your glasses, smartphone, or book you are reading in a position where you can easily pick it up. The thick natural wood texture adds a sense of luxury and warmth, creating a visual comfort. The attention to detail makes use of the beauty of grain while ensuring its practicality.",23,Bed Room,Bed,high-back-bed-t-t01.jpg,"high-back-bed-t-d01.jpg,high-back-bed-t-d02.jpg,high-back-bed-t-d03.jpg,high-back-bed-t-d04.jpg,high-back-bed-t-d05.jpg,high-back-bed-t-d06.jpg,high-back-bed-t-d07.jpg,high-back-bed-t-d08.jpg,high-back-bed-t-d09.jpg,high-back-bed-t-d11.jpg,high-back-bed-t-d12.jpg,high-back-bed-t-m02.jpg,high-back-bed-t-m03.jpg,high-back-bed-t-m04.jpg,high-back-bed-t-m05.jpg","Oak, Cedar",Large,Wood,,,,,,,,,,,,,,
Hamamoto kogei,No.4900 Wagon,"VND 500,000","Upgraded ease of use removable tray

These storage furniture tend to have more things to put on them as they are used. If you buy the type with tray, the ease of use will be greatly increased. The storage space is increased and the range of uses is expanded. Works great as a storage space. If you want to use it as a work desk, it is convenient to put notes and calculators on it, and since it is easily removable, it can be used as a portable tray to carry meals. It can be placed on the kitchen and dining line to help serve food and assist the dining table. As with wagon, there are a variety of situations where it can be used, so you won't have any trouble choosing one with a tray.",24,Bed Room,Table,wagon-t01.jpg,"wagon-d01.jpg,wagon-d02.jpg,wagon-d03.jpg,wagon-d04.jpg,wagon-d05.jpg,wagon-d06.jpg,wagon-d07.jpg,wagon-d08.jpg,wagon-d09.jpg,wagon-d10.jpg,wagon-d11.jpg,wagon-d12.jpg,wagon-m02.jpg,wagon-m03.jpg,wagon-m04.jpg,wagon-m05.jpg",Oak,Medium,Wood,New,,,,,,,,,,,,,
shirakawa,Side table,"VND 700,000","A layout that allows you to enjoy a sense of stability and functionality.

It's not only simple, but also easy to use. In this shape, the two boards below top panel become shelves and are ideal for storing reading newspapers. And a side table of only 8kg (7kg for slim type) can be easily placed sideways even for women with weak power. Then this shelf quickly turns into a rack where magazines and the like are hung up. This board also plays a role of enhancing strength and is an idea that can be used conveniently and safely.",18,Bed Room,Table,side-table-t01.jpg,"side-table-d01.jpg,side-table-d02.jpg,side-table-d03.jpg,side-table-d04.jpg,side-table-d05.jpg,side-table-d06.jpg,side-table-d07.jpg,side-table-d08.jpg,side-table-d09.jpg,side-table-d10.jpg,side-table-d11.jpg,side-table-d12.jpg,side-table-m02.jpg,side-table-m03.jpg,side-table-m04.jpg,side-table-m05.jpg","Oak, Mable, Walnut",Medium,Wood,,,,,,,,,,,,,,
Yamamuro Furniture,ALTO No.5 Night table,"VND 900,000","Small storage that colors limited space stylishly.

A small bedside table that gives you a real sense of its convenience when you stay at a hotel. I would love to incorporate it into my bedroom... but I'm worried about where to put it first, and moreover, the small storage furniture is unexpectedly small, so I sometimes give up on the design and end up being cheap. This furniture has a luxurious design and quality that will surely satisfy such a person. The width 480 x depth 350mm is compact, and the size of a single hold makes that wish come true.",22,Bed Room,Table,night-table-t01.jpg,"night-table-d01.jpg,night-table-d02.jpg,night-table-d03.jpg,night-table-d04.jpg,night-table-d05.jpg,night-table-d07.jpg,night-table-d08.jpg,night-table-d10.jpg,night-table-d11.jpg,night-table-d12.jpg,night-table-m02.jpg,night-table-m03.jpg,night-table-m04.jpg,night-table-m05.jpg","Oak, Mable, Walnut",Medium,Wood,New,,,,,,,,,,,,,
Hida takumi studio Openshelf,shirakawa,"VND 23,332,500","The V-shaped form applied on the sides is casual and individualistic.

A storeroom full of memories I bought while traveling, a piece of artist I finally got about, and a lovely piece that my child has made in school... All of them are precious treasures for each family. However, there is no place to decorate anywhere, and in the end, there are probably many people like that who just finished. I would like to recommend this modern shelf there. One of the attractions of this car is its high design, which fits perfectly with any type of interior, regardless of the Japanese or Western style, without having to decorate anything.",23,Workspace,Rack,open-shelf-t01.jpg,"open-shelf-d01.jpg,open-shelf-d02.jpg,open-shelf-d03.jpg,open-shelf-d04.jpg,open-shelf-d05.jpg,open-shelf-d06.jpg,open-shelf-d07.jpg,open-shelf-d08.jpg,open-shelf-d09.jpg,open-shelf-d10.jpg,open-shelf-d11.jpg,open-shelf-d12.jpg,open-shelf-m02.jpg,open-shelf-m03.jpg,open-shelf-m04.jpg,open-shelf-m05.jpg",Oak,Large,Wood,,,,,,,,,,,,,,
Book rack,WOW,#VALUE!,"Unique and dynamic 
Wow is an Asahikawa furniture manufacturer with designs that are simple but incorporate a wealth of ideas. Its high level of design is evidenced by its numerous competition awards. The unique design based on the swing of the playground equipment will give your room a sense of playfulness and dynamism, making you feel as if you are a child again. A number of books on a book rack with a simple design are dynamic enough to make you think they might jump out of place. With a unique design and a smart impression at the same time, it will be a piece of furniture that blends well with the room and gives it a glamorous look.",32,Workspace,Rack,book-rack-t02.jpg,"book-rack-d01.jpg,book-rack-d02.jpg,book-rack-d03.jpg,book-rack-d04.jpg,book-rack-d05.jpg,book-rack-d06.jpg,book-rack-d07.jpg,book-rack-d08.jpg,book-rack-d10.jpg,book-rack-d11.jpg,book-rack-d12.jpg,book-rack-m01.jpg,book-rack-m02.jpg,book-rack-m03.jpg,book-rack-m04.jpg,book-rack-m05.jpg",Walnut,Large,Wood,,,,,,,,,,,,,,
SORAHE Tower,WOW,"VND 29,691,860","As if to reach to sky, it is an excellent item worthy of being called a tower.

Shelf boards that can fully appreciate the limitless simplicity of design and the beauty of wood grain... When you look at this wooden shelf, you feel the appearance of a living tree. Not only trees, but all things that extend vertically, such as structures and traffic light poles, have narrow and narrow ends.Takashi Kirimoto, a SORAHE designer, noticed this phenomenon because Rome's brick-and-mortar buildings are always sloping inward in the upper direction. Looking closely, the support of this shelf is gradually thinner as you go upstairs. It is a projection of this figurative beauty. The carelessly applied form gives a sense of stability to the appearance as well.",22,Workspace,Rack,tower-t01.jpg,"tower-d01.jpg,tower-d02.jpg,tower-d03.jpg,tower-d04.jpg,tower-d06.jpg,tower-d12.jpg,tower-m02.jpg,tower-m03.jpg,tower-m04.jpg",Walnut,Large,Wood,,,,,,,,,,,,,,
trico Cabinet,TAISETSU MOKKO,"VND 30,107,000","The right size for the balance.

There are two movable shelves each inside the door, and it is convenient because you can adjust the height of the shelf. The lower part also has a cup of drawers, which is characterized by balanced storage. The base of the leg has a space with a moderate height of 100mm, so it is easy to clean. The paint is finished with urethane coating, which is characterized by the fact that dirt and stains do not stick to it and it is relatively easy to take care of. The well-balanced design of natural materials is designed to blend naturally into any living room or dining room without asserting too much individuality.",18,Workspace,Cabinet,cabinet-t01.jpg,"cabinet-d01.jpg,cabinet-d02.jpg,cabinet-d03.jpg,cabinet-d04.jpg,cabinet-d05.jpg,cabinet-d06.jpg,cabinet-d07.jpg,cabinet-d08.jpg,cabinet-d09.jpg,cabinet-d10.jpg,cabinet-d11.jpg,cabinet-d12.jpg,cabinet-m02.jpg,cabinet-m03.jpg,cabinet-m04.jpg",Oak,Large,"Wood, Glass",,,,,,,,,,,,,,
No.28 Bookshelf,Hamamoto kogei,"VND 13,355,710","Designed to create a space with a sense of unity

Despite its slimness in the depth 24.5cm, it efficiently organizes and stores books, documents, ornaments, and essentials, making the most of limited space. When combined with a No.28 desk, it provides a sense of unity and orderly working conditions, allowing for a spacious use of space. In addition, the bookshelf maintains its slimness and sturdy construction, maintaining its stability and durability for a long time. This combination is both functional and design-perfect for modern office or home decor.",32,Workspace,Cabinet,shodana-t01.jpg,"shodana-d01.jpg,shodana-d02.jpg,shodana-d03.jpg,shodana-d04.jpg,shodana-d05.jpg,shodana-d06.jpg,shodana-d07.jpg,shodana-d08.jpg,shodana-d09.jpg,shodana-d10.jpg,shodana-d11.jpg,shodana-d12.jpg,shodana-m01.jpg,shodana-m02.jpg,shodana-m03.jpg,shodana-m04.jpg,shodana-m05.jpg",Oak,Large,Wood,,,,,,,,,,,,,,
Brooks Bookshelf,KATOH MOKKOU,"VND 45,441,000","Slim body that doesn't interfere with the traffic line

Although slim, it is not as luxurious as inexpensive thin plywood, and it is real proof that it increases taste enough to be used. It is used not only for storing books, but also as a decorative shelf because of its luxury feeling. Since it is 180cm high, it is also a small accent in the room. The foot that shines in the individuality of a simple thing. This unnoticed small detail has changed the design that tends to be monotonic.",26,Workspace,Cabinet,open-board-t01.jpg,"open-board-d01.jpg,open-board-d02.jpg,open-board-d03.jpg,open-board-d04.jpg,open-board-d05.jpg,open-board-d06.jpg,open-board-d07.jpg,open-board-d08.jpg,open-board-d09.jpg,open-board-d10.jpg,open-board-d11.jpg,open-board-d12.jpg,open-board-m01.jpg,open-board-m02.jpg,open-board-m03.jpg,open-board-m04.jpg,open-board-m05.jpg",Walnut,Large,Wood,,,,,,,,,,,,,,
Wooden glass Whirlpool,JUN COBO,"VND 340,000","The material used for the foundation is an auspicious ""Pagoda Tree"".

Pagoda Tree is a leguminous deciduous tree originally native to China, but since it is suitable for street trees, it has become a familiar material that can be confirmed many times in Japan. In China and Korea, it is regarded as a dignified tree planted in the court, and from there, it is widely known as an auspicious tree, and some people even plant it as a garden tree in the direction of the kimon. I feel that the drink I get from the glass made from such wood is somehow good for my health. The wood is resilient and degrades little, making it an attractive tree that produces a beautiful luster by polishing.",15,Homeware,Tableware,uzu-t01.jpg,"uzu-d01.jpg,uzu-d02.jpg,uzu-d03.jpg,uzu-d04.jpg,uzu-d05.jpg,uzu-d06.jpg,uzu-d07.jpg,uzu-d08.jpg,uzu-d09.jpg,uzu-d10.jpg,uzu-d11.jpg,uzu-d12.jpg,uzu-m02.jpg,uzu-m04.jpg,uzu-m03.jpg,uzu-m05.jpg",Oak,Small,Wood,,,,,,,,,,,,,,
Square triple layers lunch box,Genda Lacquerware,"VND 890,000","The dishes stand out depending on the color of ' Shunkei painting. '

Hida Shunkei painting was born in Hida, the production area of three great Shunkei painting in Japan. Lacquer is painted thinly and carefully over and over again to create a unique yellowish-red color. The shadow part is dark, and the part where the light hits reflects the light glossily like a mirror. Reddish colors and light-lit dishes look more prominent than usual.",21,Homeware,Tableware,wakaku-3danju-t01.jpg,"wakaku-3danju-d01.jpg,wakaku-3danju-d02.jpg,wakaku-3danju-d03.jpg,wakaku-3danju-d04.jpg,wakaku-3danju-d05.jpg,wakaku-3danju-d10.jpg,wakaku-3danju-d11.jpg,wakaku-3danju-d12.jpg,wakaku-3danju-m02.jpg,wakaku-3danju-m03.jpg,wakaku-3danju-m04.jpg,wakaku-3danju-m05.jpg",Oak,Small,Cypress,,,,,,,,,,,,,,
